#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_SUMMARY        	Targeted IC
CH:CHROMATOGRAPHY_TYPE           	Targeted IC
CH:COLUMN_NAME                   	Dionex IonPac AS11-HC-4um 2 mm i.d. x 250 mm
CH:INSTRUMENT_NAME               	Thermo Dionex ICS-5000+
#COLLECTION
CO:COLLECTION_PROTOCOL_FILENAME  	mouse_tissue_procedure.pdf
CO:COLLECTION_PROTOCOL_ID        	mouse_tissue_collection
CO:COLLECTION_SUMMARY            	Mouse is sacrificed and tissues are harvested.
CO:SAMPLE_TYPE                   	mouse
#METABOLOMICS WORKBENCH ANALYSIS_ID:AN000000 STUDY_ID:ST000000
CREATED_ON          	2023-05-04
VERSION             	1
#MS
MS:INSTRUMENT_NAME               	Orbitrap Fusion
MS:INSTRUMENT_TYPE               	IC-FTMS
MS:ION_MODE                      	NEGATIVE
MS:MS_COMMENTS                   	ICMS Analytical Experiment with detection of compounds by comparison to
MS:MS_COMMENTS                   	standards. 
Thermo RAW files are loaded into TraceFinder and peaks are manually
MS:MS_COMMENTS                   	curated. The area under the chromatograms is then exported to an Excel file. The
MS:MS_COMMENTS                   	area is then corrected for natural abundance. The natural abundance corrected
MS:MS_COMMENTS                   	area is then used to calculate the concentration of each compound for each
MS:MS_COMMENTS                   	sample. This calculation is done using standards. The first sample ran on the
MS:MS_COMMENTS                   	ICMS is a standard that has known concentrations of certain compounds. Then a
MS:MS_COMMENTS                   	number of samples are ran (typically 3-4) followed by another standard. The
MS:MS_COMMENTS                   	equation to calculate the concentration is "intensity in sample"/("intensity in
MS:MS_COMMENTS                   	first standard" + (("intensity in second standard" - "intensity in first
MS:MS_COMMENTS                   	standard")/# of samples) * "known concentration in standard", where the
MS:MS_COMMENTS                   	"intensity" is the aforementioned natural abundance corrected area, and the
MS:MS_COMMENTS                   	unlabeled intensity from the standard is used for all isotopologues of the
MS:MS_COMMENTS                   	compound. The reconstitution volume is simply the volume that the polar part of
MS:MS_COMMENTS                   	the sample was reconstituted to before going into the ICMS. The injection volume
MS:MS_COMMENTS                   	is how much of the reconstitution volume was injected into the ICMS. The protein
MS:MS_COMMENTS                   	is how much protein was in the entire sample (not only the small portion that was
MS:MS_COMMENTS                   	aliquoted for the ICMS). The polar split ratio is the fraction of the polar part
MS:MS_COMMENTS                   	of the sample that was aliquoted for the ICMS. This is calculated by dividing the
MS:MS_COMMENTS                   	weight of the polar aliquot for ICMS by the total weight of the polar portion of
MS:MS_COMMENTS                   	the sample. The protein normalized concentration is calculated using the
MS:MS_COMMENTS                   	equation, concentration * (reconstitution volume / 1000 / polar split ratio /
MS:MS_COMMENTS                   	protein).
MS:MS_TYPE                       	ESI
#MS_METABOLITE_DATA
MS_METABOLITE_DATA_START
Samples	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A
N-acetyl-alpha-D-galactosamine 1-phosphate-13C7	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	55230.8082645	natural abundance corrected peak area	0	protein normalized	uMol/g	73221.1778715117	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C7	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	36176.7703026	natural abundance corrected peak area	0	protein normalized	uMol/g	46324.9382078999	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C7	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	91284.5553305	natural abundance corrected peak area	0	protein normalized	uMol/g	111471.382222029	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C7	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	67254.828295	natural abundance corrected peak area	0	protein normalized	uMol/g	83572.9064534018	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C7	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	219858.259622	natural abundance corrected peak area	0	protein normalized	uMol/g	241716.425128895	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C7	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	267516.731408	natural abundance corrected peak area	0	protein normalized	uMol/g	303252.487619503	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	24894.9859902	natural abundance corrected peak area	0	protein normalized	uMol/g	25011.7503468003	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	192640.037047	natural abundance corrected peak area	0	protein normalized	uMol/g	193471.467195843	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	7404.32862873	natural abundance corrected peak area	0	protein normalized	uMol/g	7426.96440353565	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	83530.6467866	natural abundance corrected peak area	0	protein normalized	uMol/g	83994.8815988861	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	66665.7321271	natural abundance corrected peak area	0	protein normalized	uMol/g	66938.4061911631	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	55497.8169533	natural abundance corrected peak area	0	protein normalized	uMol/g	55764.9928003129	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	144754.424821	natural abundance corrected peak area	0	protein normalized	uMol/g	145460.687052613	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	41531.9235143	natural abundance corrected peak area	0	protein normalized	uMol/g	41728.0252874877	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	583632.589943	natural abundance corrected peak area	0	protein normalized	uMol/g	586394.566434209	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	131115.825647	natural abundance corrected peak area	0	protein normalized	uMol/g	131832.371205596	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	80361.1084723	natural abundance corrected peak area	0	protein normalized	uMol/g	80821.3324781642	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	288778.742867	natural abundance corrected peak area	0	protein normalized	uMol/g	289909.800114869	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	164995.690017	natural abundance corrected peak area	0	protein normalized	uMol/g	165837.043992077	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	650035.745719	natural abundance corrected peak area	0	protein normalized	uMol/g	652610.061339508	spectrometer peak area
N-acetyl-alpha-D-galactosamine 1-phosphate-13C8	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	795837.292318	natural abundance corrected peak area	0	protein normalized	uMol/g	799020.811674139	spectrometer peak area
NADH-13C0	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0642276862722763	calculated from standard	uM	203148.655325	natural abundance corrected peak area	0.016391517132267	protein normalized	uMol/g	161093.416620539	spectrometer peak area
NADH-13C0	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0660601050606874	calculated from standard	uM	208944.495631	natural abundance corrected peak area	0.0185438600938312	protein normalized	uMol/g	165608.912283569	spectrometer peak area
NADH-13C0	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00219131685580773	calculated from standard	uM	6931.01524413	natural abundance corrected peak area	0.00261374554604095	protein normalized	uMol/g	5635.96379205158	spectrometer peak area
NADH-13C0	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00596878292345467	calculated from standard	uM	21060.3274402	natural abundance corrected peak area	0.00186645111441044	protein normalized	uMol/g	16679.7228744819	spectrometer peak area
NADH-13C0	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00303395508742241	calculated from standard	uM	10705.0446296	natural abundance corrected peak area	0.00187803452842891	protein normalized	uMol/g	8611.03987239802	spectrometer peak area
NADH-13C0	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00377455128560411	calculated from standard	uM	13318.1734089	natural abundance corrected peak area	0.00195688028677729	protein normalized	uMol/g	10766.8806563788	spectrometer peak area
NADH-13C0	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0239144305103003	calculated from standard	uM	84379.9721906	natural abundance corrected peak area	0.00295353659947608	protein normalized	uMol/g	66856.9156549803	spectrometer peak area
NADH-13C0	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0284885043493408	calculated from standard	uM	100519.190859	natural abundance corrected peak area	0.00434107148096881	protein normalized	uMol/g	79622.7450862143	spectrometer peak area
NADH-13C0	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0115609908715661	calculated from standard	uM	40791.943083	natural abundance corrected peak area	0.00323869283136089	protein normalized	uMol/g	32560.6171108415	spectrometer peak area
NADH-13C0	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0092183905419885	calculated from standard	uM	32526.283126	natural abundance corrected peak area	0.00341975972729539	protein normalized	uMol/g	25922.9013176852	spectrometer peak area
NADH-13C0	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00387028240539795	calculated from standard	uM	13655.9522752	natural abundance corrected peak area	0.00188696210468735	protein normalized	uMol/g	10929.8858044467	spectrometer peak area
NADH-13C0	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00333383355487398	calculated from standard	uM	11763.1395206	natural abundance corrected peak area	0.00154865095901351	protein normalized	uMol/g	9468.57186368376	spectrometer peak area
NADH-13C0	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000975885202198528	calculated from standard	uM	3386.82200141	natural abundance corrected peak area	0.000471391280644671	protein normalized	uMol/g	2891.53322263421	spectrometer peak area
NADH-13C0	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00153152973928343	calculated from standard	uM	5315.1934317	natural abundance corrected peak area	0.0007822017917814	protein normalized	uMol/g	4226.12473276429	spectrometer peak area
NADH-13C0	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00599248031254389	calculated from standard	uM	20796.9791117	natural abundance corrected peak area	0.00215778326892309	protein normalized	uMol/g	16546.4849333282	spectrometer peak area
NADH-13C1	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0474212840663595	calculated from standard	uM	149990.925269	natural abundance corrected peak area	0.0121023632536387	protein normalized	uMol/g	158211.859222037	spectrometer peak area
NADH-13C1	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.025889172303381	calculated from standard	uM	81886.0346084	natural abundance corrected peak area	0.00726739972178287	protein normalized	uMol/g	104631.702216057	spectrometer peak area
NADH-13C1	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0253005955861655	calculated from standard	uM	80024.3986754	natural abundance corrected peak area	0.0301778899980888	protein normalized	uMol/g	67128.9605461805	spectrometer peak area
NADH-13C1	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0069964577320717	calculated from standard	uM	24686.3879368	natural abundance corrected peak area	0.00218780721269599	protein normalized	uMol/g	23698.9146912598	spectrometer peak area
NADH-13C1	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00162041176801446	calculated from standard	uM	5717.48091026	natural abundance corrected peak area	0.00100304360576053	protein normalized	uMol/g	6678.57981443501	spectrometer peak area
NADH-13C1	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00199331171062976	calculated from standard	uM	7033.22567676	natural abundance corrected peak area	0.00103341353628195	protein normalized	uMol/g	8285.29016033519	spectrometer peak area
NADH-13C1	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00866390264480297	calculated from standard	uM	30569.8211762	natural abundance corrected peak area	0.00107002981085841	protein normalized	uMol/g	40237.9806313899	spectrometer peak area
NADH-13C1	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00650096419772494	calculated from standard	uM	22938.082426	natural abundance corrected peak area	0.000990615370027175	protein normalized	uMol/g	37124.6494818918	spectrometer peak area
NADH-13C1	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000983820081819203	calculated from standard	uM	3471.32293653	natural abundance corrected peak area	0.00027560708954224	protein normalized	uMol/g	10470.005993377	spectrometer peak area
NADH-13C1	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00107815824192217	calculated from standard	uM	3804.18686664	natural abundance corrected peak area	0.000399965928822725	protein normalized	uMol/g	9170.7612652947	spectrometer peak area
NADH-13C1	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	2218.93557482629	spectrometer peak area
NADH-13C1	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000233916770902057	calculated from standard	uM	825.35482562	natural abundance corrected peak area	0.00010866032320576	protein normalized	uMol/g	2901.67288242132	spectrometer peak area
NADH-13C1	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000397725048155947	calculated from standard	uM	1380.30983621	natural abundance corrected peak area	0.00019211698196911	protein normalized	uMol/g	1872.62999342764	spectrometer peak area
NADH-13C1	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000303088438825328	calculated from standard	uM	1051.87228034	natural abundance corrected peak area	0.000154797072388762	protein normalized	uMol/g	1840.98522193743	spectrometer peak area
NADH-13C1	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000242761442103691	calculated from standard	uM	842.506671234	natural abundance corrected peak area	8.74139839916495e-05	protein normalized	uMol/g	4574.55756996339	spectrometer peak area
NADH-13C10	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	1874.49838194502	spectrometer peak area
NADH-13C10	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000302531886329448	calculated from standard	uM	956.891793365	natural abundance corrected peak area	8.49243120164931e-05	protein normalized	uMol/g	4511.92614340369	spectrometer peak area
NADH-13C10	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	371.518331255126	spectrometer peak area
NADH-13C10	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000118832674102579	calculated from standard	uM	419.290676054	natural abundance corrected peak area	3.71592299219952e-05	protein normalized	uMol/g	738.282622126429	spectrometer peak area
NADH-13C10	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	7.46900882742753e-05	calculated from standard	uM	263.537430623	natural abundance corrected peak area	4.62335666378185e-05	protein normalized	uMol/g	348.003477235284	spectrometer peak area
NADH-13C10	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000134606523522163	calculated from standard	uM	474.947321308	natural abundance corrected peak area	6.97854744633537e-05	protein normalized	uMol/g	482.19186219922	spectrometer peak area
NADH-13C10	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	4125.85115132367	spectrometer peak area
NADH-13C10	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	1829.48636392743	spectrometer peak area
NADH-13C10	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	8.03495558984106e-05	calculated from standard	uM	283.506366138	natural abundance corrected peak area	3.9174548838425e-05	protein normalized	uMol/g	343.431241297468	spectrometer peak area
NADH-13C10	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00010716610301362	calculated from standard	uM	378.126202427	natural abundance corrected peak area	4.97813959437626e-05	protein normalized	uMol/g	343.188813423025	spectrometer peak area
NADH-13C10	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000227956409424187	calculated from standard	uM	791.125617092	natural abundance corrected peak area	0.000110111992196976	protein normalized	uMol/g	755.118086060699	spectrometer peak area
NADH-13C10	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000110938821122704	calculated from standard	uM	385.014589157	natural abundance corrected peak area	5.66600454659771e-05	protein normalized	uMol/g	381.351044515581	spectrometer peak area
NADH-13C10	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000194441516767116	calculated from standard	uM	674.811756025	natural abundance corrected peak area	7.00148569175695e-05	protein normalized	uMol/g	920.136271664718	spectrometer peak area
NADH-13C11	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0031497045150075	calculated from standard	uM	9962.34294012	natural abundance corrected peak area	0.000803834584675196	protein normalized	uMol/g	9307.36462757621	spectrometer peak area
NADH-13C11	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00323135757069605	calculated from standard	uM	10220.6070849	natural abundance corrected peak area	0.000907080644953283	protein normalized	uMol/g	9487.76041061682	spectrometer peak area
NADH-13C11	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000863579734603149	calculated from standard	uM	2731.45542106	natural abundance corrected peak area	0.00103005536556155	protein normalized	uMol/g	2628.20778069607	spectrometer peak area
NADH-13C11	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000122063749974499	calculated from standard	uM	430.691244096	natural abundance corrected peak area	3.81695942189095e-05	protein normalized	uMol/g	453.932839143992	spectrometer peak area
NADH-13C11	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0011724773794838	calculated from standard	uM	4136.98367738	natural abundance corrected peak area	0.000144806076434547	protein normalized	uMol/g	4471.21432878014	spectrometer peak area
NADH-13C11	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000162498195148384	calculated from standard	uM	573.36064021	natural abundance corrected peak area	2.47614361223521e-05	protein normalized	uMol/g	627.115566761975	spectrometer peak area
NADH-13C11	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000172577504387572	calculated from standard	uM	608.924599508	natural abundance corrected peak area	6.40213274381904e-05	protein normalized	uMol/g	561.702396718618	spectrometer peak area
NADH-13C11	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000276109177248971	calculated from standard	uM	974.227033665	natural abundance corrected peak area	0.0001346174515582	protein normalized	uMol/g	918.276737117082	spectrometer peak area
NADH-13C11	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000124795621155792	calculated from standard	uM	433.104789844	natural abundance corrected peak area	4.49366354698157e-05	protein normalized	uMol/g	483.090774767122	spectrometer peak area
NADH-13C12	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000118041635482551	calculated from standard	uM	416.49956561	natural abundance corrected peak area	7.30684076858864e-05	protein normalized	uMol/g	384.894685622213	spectrometer peak area
NADH-13C12	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	4.54174571849576e-05	calculated from standard	uM	160.251517283	natural abundance corrected peak area	5.6092542949385e-06	protein normalized	uMol/g	589.318013891736	spectrometer peak area
NADH-13C12	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00012676067554922	calculated from standard	uM	447.263934347	natural abundance corrected peak area	1.93157614309012e-05	protein normalized	uMol/g	466.841468585868	spectrometer peak area
NADH-13C12	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	9.66674256613121e-05	calculated from standard	uM	335.485529765	natural abundance corrected peak area	3.48081834003219e-05	protein normalized	uMol/g	353.701569734793	spectrometer peak area
NADH-13C13	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00151439949824876	calculated from standard	uM	4789.96270222	natural abundance corrected peak area	0.000386489172526148	protein normalized	uMol/g	4441.84243027745	spectrometer peak area
NADH-13C13	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000248409735407946	calculated from standard	uM	785.706393094	natural abundance corrected peak area	0.000296296648198054	protein normalized	uMol/g	752.89387742646	spectrometer peak area
NADH-13C13	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000314615104365701	calculated from standard	uM	1110.09182283	natural abundance corrected peak area	0.000194748442919778	protein normalized	uMol/g	1070.97508383399	spectrometer peak area
NADH-13C13	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00216162099294684	calculated from standard	uM	7627.09022876	natural abundance corrected peak area	0.00026696963216893	protein normalized	uMol/g	7022.33126214803	spectrometer peak area
NADH-13C13	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000598084089314792	calculated from standard	uM	2110.28729295	natural abundance corrected peak area	9.11359105240539e-05	protein normalized	uMol/g	1976.26725844651	spectrometer peak area
NADH-13C13	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000125491806623359	calculated from standard	uM	442.786841546	natural abundance corrected peak area	3.51552404997741e-05	protein normalized	uMol/g	408.607273763924	spectrometer peak area
NADH-13C13	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000115998375159296	calculated from standard	uM	402.573835767	natural abundance corrected peak area	5.92441234185796e-05	protein normalized	uMol/g	370.106477216336	spectrometer peak area
NADH-13C14	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00011988779470769	calculated from standard	uM	379.198531012	natural abundance corrected peak area	3.36539351545836e-05	protein normalized	uMol/g	352.895769302698	spectrometer peak area
NADH-13C14	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000110287500606703	calculated from standard	uM	348.83332637	natural abundance corrected peak area	0.000131548051908041	protein normalized	uMol/g	398.272749290957	spectrometer peak area
NADH-13C14	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000103457904866489	calculated from standard	uM	365.042150252	natural abundance corrected peak area	2.8982669267805e-05	protein normalized	uMol/g	377.2732059181	spectrometer peak area
NADH-13C14	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000121106111057779	calculated from standard	uM	427.312299106	natural abundance corrected peak area	4.49269099023676e-05	protein normalized	uMol/g	398.200062306895	spectrometer peak area
NADH-13C14	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000325755870362999	calculated from standard	uM	1130.53988968	natural abundance corrected peak area	0.000117298769484712	protein normalized	uMol/g	1052.92024890814	spectrometer peak area
NADH-13C15	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00140006971062398	calculated from standard	uM	4428.34384332	natural abundance corrected peak area	0.000357311122041259	protein normalized	uMol/g	4166.50047395016	spectrometer peak area
NADH-13C15	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000236846650145909	calculated from standard	uM	749.132987469	natural abundance corrected peak area	6.64856820915358e-05	protein normalized	uMol/g	729.486369793346	spectrometer peak area
NADH-13C15	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000122893087533601	calculated from standard	uM	433.61748899	natural abundance corrected peak area	3.84289298374535e-05	protein normalized	uMol/g	405.957324315304	spectrometer peak area
NADH-13C15	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000108846485971836	calculated from standard	uM	384.055286426	natural abundance corrected peak area	5.64304275042264e-05	protein normalized	uMol/g	367.018110788268	spectrometer peak area
